TimeStamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19
0,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
1,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
2,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
3,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
4,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
5,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
6,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
7,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
8,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4250121,43.5797094,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
9,1.4410256000000001,43.585344299999996,[],1.4532017,43.6470557,[],1.5043531,43.5746916,[],1.4245803,43.579118799999996,[],1.3988743000000001,43.5796255,[],1.4544333,43.5901886,[],1.4258556999999998,43.6465559,[],1.4114752,43.5634295,[],1.3708356000000002,43.5951033,[],1.4574128999999998,43.5930431,[],1.4668663,43.6252153,[],1.4351622,43.6154039,[],1.3639424999999998,43.6038001,[],1.3887346999999999,43.58156629999999,[],1.4109003999999998,43.5840579,[],1.3943835,43.546319200000006,[],1.4267978000000001,43.6186113,[],1.4319903999999999,43.6202722,[],1.4691011,43.563433700000004,[],1.3968889,43.596645200000005,[]
